Scan,Time,ACF,202p,202p,202p,202p,,204p,204p,204p,204p,,206p,206p,206p,206p,206a,206a,206a,206a,,207p,207p,207p,207p,207a,207a,207a,207a,,208p,208p,208p,208p,208a,208a,208a,208a,,232p,232p,232p,232p,232a,232a,232a,232a,,238p,238p,238p,238p,238a,238a,238a,238a,
1,1442951545.326000,51.843750,774.0,1355.0,1742.0,387.0,,257.0,128.0,257.0,128.0,,0.0,0.0,49.0,99.0,0.0,0.0,0.0,2540.34375,,0.0,0.0,0.0,0.0,0.0,0.0,1814.53125,0.0,,0.0,0.0,0.0,0.0,0.0,20115.375,0.0,0.0,,0.0,388.0,0.0,1554.0,0.0,0.0,0.0,0.0,,96.0,192.0,0.0,96.0,0.0,0.0,0.0,0.0,
2,1442951545.651000,51.843750,1548.0,967.0,1935.0,580.0,,0.0,0.0,257.0,0.0,,0.0,49.0,0.0,49.0,0.0,2540.34375,0.0,0.0,,0.0,0.0,0.0,0.0,1814.53125,0.0,1814.53125,0.0,,0.0,0.0,0.0,0.0,20115.375,0.0,0.0,0.0,,0.0,777.0,388.0,1165.0,20115.375,0.0,20115.375,0.0,,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,
3,1442951545.976000,51.843750,2129.0,1548.0,2129.0,1742.0,,128.0,386.0,0.0,0.0,,49.0,49.0,0.0,198.0,0.0,0.0,0.0,0.0,,35.0,0.0,0.0,0.0,1814.53125,1814.53125,0.0,1814.53125,,0.0,0.0,388.0,388.0,0.0,0.0,0.0,0.0,,0.0,388.0,0.0,0.0,0.0,0.0,0.0,20115.375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,1442951546.300000,51.843750,1161.0,0.0,1355.0,193.0,,128.0,0.0,128.0,128.0,,0.0,0.0,49.0,0.0,2540.34375,0.0,0.0,0.0,,0.0,0.0,0.0,35.0,0.0,3629.0625,0.0,0.0,,0.0,0.0,0.0,0.0,20115.375,0.0,0.0,0.0,,0.0,0.0,388.0,777.0,0.0,0.0,0.0,20115.375,,0.0,0.0,0.0,0.0,0.0,0.0,4977.0,0.0,
5,1442951546.625000,51.843750,967.0,1355.0,1161.0,1161.0,,257.0,257.0,257.0,257.0,,0.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,,70.0,0.0,35.0,0.0,1814.53125,1814.53125,0.0,1814.53125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,388.0,388.0,777.0,0.0,0.0,0.0,20115.375,0.0,,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,
6,1442951546.950000,51.843750,1161.0,1161.0,967.0,1935.0,,386.0,0.0,0.0,257.0,,0.0,148.0,99.0,148.0,0.0,0.0,2540.34375,0.0,,0.0,0.0,0.0,0.0,1814.53125,1814.53125,0.0,1814.53125,,0.0,0.0,0.0,0.0,0.0,20115.375,0.0,20115.375,,0.0,388.0,0.0,777.0,0.0,0.0,20115.375,0.0,,0.0,0.0,192.0,192.0,0.0,0.0,0.0,0.0,
7,1442951547.274000,51.843750,1355.0,1161.0,774.0,774.0,,257.0,128.0,902.0,0.0,,0.0,99.0,49.0,0.0,0.0,0.0,0.0,2540.34375,,0.0,35.0,35.0,0.0,0.0,1814.53125,1814.53125,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20115.375,0.0,,777.0,1165.0,388.0,388.0,20115.375,0.0,0.0,0.0,,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,
8,1442951547.599000,51.843750,387.0,1935.0,967.0,580.0,,257.0,128.0,386.0,0.0,,148.0,0.0,0.0,0.0,0.0,2540.34375,0.0,2540.34375,,0.0,0.0,0.0,0.0,0.0,1814.53125,0.0,1814.53125,,0.0,0.0,0.0,388.0,0.0,0.0,20115.375,0.0,,0.0,0.0,0.0,388.0,0.0,0.0,0.0,20115.375,,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,
9,1442951547.924000,51.843750,1161.0,193.0,193.0,774.0,,0.0,515.0,257.0,128.0,,49.0,0.0,99.0,49.0,0.0,0.0,0.0,2540.34375,,0.0,0.0,0.0,35.0,0.0,1814.53125,0.0,1814.53125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,388.0,0.0,0.0,0.0,0.0,20115.375,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,1442951548.248000,51.843750,967.0,774.0,967.0,580.0,,257.0,386.0,0.0,386.0,,99.0,0.0,0.0,148.0,0.0,0.0,2540.34375,0.0,,0.0,35.0,0.0,0.0,1814.53125,0.0,1814.53125,1814.53125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,777.0,0.0,0.0,388.0,0.0,0.0,20115.375,0.0,,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,1442951548.573000,51.843750,193.0,1161.0,967.0,774.0,,128.0,128.0,0.0,128.0,,248.0,49.0,0.0,99.0,2540.34375,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1814.53125,1814.53125,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,388.0,1554.0,0.0,2331.0,0.0,0.0,0.0,20115.375,,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,1442951548.898000,51.843750,774.0,967.0,1161.0,1161.0,,515.0,128.0,773.0,386.0,,0.0,0.0,99.0,49.0,0.0,0.0,0.0,0.0,,0.0,0.0,35.0,141.0,1814.53125,1814.53125,0.0,1814.53125,,0.0,0.0,0.0,0.0,0.0,0.0,20115.375,0.0,,0.0,0.0,388.0,777.0,0.0,20115.375,0.0,20115.375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,1442951549.222000,51.843750,1355.0,1742.0,1935.0,1355.0,,0.0,128.0,644.0,0.0,,0.0,49.0,0.0,99.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,35.0,0.0,1814.53125,0.0,1814.53125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,777.0,388.0,0.0,20115.375,0.0,20115.375,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,1442951549.547000,51.843750,1161.0,580.0,967.0,1161.0,,128.0,128.0,257.0,257.0,,148.0,148.0,0.0,49.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1814.53125,1814.53125,0.0,0.0,,0.0,0.0,0.0,0.0,20115.375,0.0,0.0,0.0,,388.0,0.0,0.0,777.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,
15,1442951549.872000,51.843750,1161.0,774.0,967.0,774.0,,644.0,257.0,0.0,515.0,,0.0,99.0,0.0,49.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1814.53125,0.0,1814.53125,1814.53125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1554.0,388.0,0.0,0.0,0.0,0.0,0.0,,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,1442951550.196000,51.843750,580.0,774.0,967.0,193.0,,0.0,128.0,644.0,0.0,,49.0,0.0,49.0,0.0,0.0,0.0,0.0,2540.34375,,0.0,70.0,0.0,0.0,1814.53125,0.0,1814.53125,0.0,,0.0,388.0,0.0,0.0,0.0,0.0,20115.375,0.0,,1165.0,0.0,777.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,1442951550.521000,51.843750,1742.0,967.0,580.0,2322.0,,0.0,257.0,128.0,128.0,,0.0,0.0,198.0,0.0,2540.34375,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1814.53125,1814.53125,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,,96.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,
18,1442951550.846000,51.843750,1742.0,774.0,1742.0,1161.0,,0.0,128.0,0.0,128.0,,148.0,99.0,99.0,0.0,0.0,2540.34375,0.0,0.0,,0.0,35.0,35.0,0.0,1814.53125,0.0,1814.53125,0.0,,0.0,0.0,0.0,0.0,0.0,20115.375,0.0,0.0,,388.0,777.0,1942.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,1442951551.170000,51.843750,967.0,1548.0,1935.0,193.0,,257.0,257.0,128.0,257.0,,99.0,198.0,148.0,0.0,0.0,0.0,2540.34375,0.0,,0.0,0.0,0.0,0.0,1814.53125,0.0,1814.53125,0.0,,0.0,0.0,0.0,0.0,20115.375,0.0,0.0,0.0,,1165.0,0.0,1165.0,0.0,20115.375,0.0,20115.375,0.0,,192.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,1442951551.495000,51.843750,774.0,1161.0,1742.0,580.0,,644.0,515.0,515.0,386.0,,49.0,99.0,0.0,49.0,0.0,2540.34375,0.0,0.0,,0.0,0.0,141.0,528.0,1814.53125,0.0,1814.53125,1814.53125,,777.0,388.0,1554.0,5051.0,0.0,0.0,20115.375,0.0,,110212.0,157104.0,101234.0,128566.0,120847.78125,161130.375,100680.5625,120847.78125,,340200.0,299704.0,479936.0,336480.0,354974.15625,290013.9375,500032.96875,335014.3125,
21,1442951551.820000,51.843750,193.0,1355.0,1548.0,387.0,,257.0,0.0,128.0,257.0,,22630.0,22878.0,17318.0,20842.0,20530.125,23122.3125,17989.78125,23122.3125,,987.0,1269.0,1128.0,1515.0,0.0,3629.0625,1814.53125,1814.53125,,7382.0,6994.0,7382.0,3885.0,20115.375,0.0,0.0,0.0,,356696.0,310968.0,388680.0,354328.0,342376.125,322260.75,402825.9375,342376.125,,1049408.0,965584.0,1014112.0,1023792.0,1100072.53125,1015048.78125,1005042.9375,1045066.3125,
22,1442951552.144000,51.843750,580.0,967.0,1161.0,774.0,,257.0,128.0,128.0,128.0,,42649.0,37133.0,42301.0,38425.0,43704.28125,33387.375,43704.28125,35979.5625,,2185.0,2502.0,2502.0,2502.0,1814.53125,3629.0625,3629.0625,1814.53125,,11658.0,9714.0,11658.0,16322.0,20115.375,20115.375,20115.375,20115.375,,598688.0,446448.0,512704.0,368936.0,604238.90625,422941.3125,523673.71875,362543.34375,,1104288.0,1200224.0,1193312.0,1129920.0,1105049.53125,1220038.96875,1210084.96875,1120032.375,
23,1442951552.469000,51.843750,774.0,2516.0,580.0,387.0,,644.0,644.0,0.0,128.0,,41207.0,43493.0,40412.0,47519.0,43704.28125,43704.28125,41112.09375,43704.28125,,1797.0,2009.0,2397.0,3278.0,3629.0625,1814.53125,3629.0625,3629.0625,,12435.0,15545.0,8937.0,10880.0,20115.375,20115.375,20115.375,0.0,,497616.0,530192.0,416760.0,614640.0,503506.5,503506.5,443108.53125,624354.28125,,1347328.0,1267680.0,1469408.0,1333920.0,1395063.46875,1260062.34375,1500098.90625,1330051.40625,
24,1442951552.794000,51.203125,1742.0,387.0,1355.0,967.0,,257.0,128.0,0.0,257.0,,43941.0,44239.0,58905.0,62685.0,43164.234375,43164.234375,58371.5625,63491.875,,3067.0,2467.0,2573.0,3137.0,3584.21875,1792.109375,3584.21875,5376.328125,,6994.0,12046.0,11269.0,10491.0,0.0,19866.8125,0.0,19866.8125,,469440.0,478168.0,661776.0,551680.0,497284.75,497284.75,656424.0625,537069.578125,,1340992.0,1456672.0,1500160.0,1282272.0,1333380.57812,1466713.51562,1496360.125,1269171.85938,
25,1442951553.118000,51.843750,967.0,387.0,580.0,1548.0,,0.0,128.0,128.0,0.0,,47072.0,47967.0,49359.0,51844.0,51429.0,48836.8125,51429.0,51429.0,,2361.0,2749.0,2679.0,3313.0,1814.53125,3629.0625,3629.0625,3629.0625,,6994.0,12435.0,11658.0,11658.0,20115.375,20115.375,0.0,20115.375,,593904.0,622624.0,646192.0,523040.0,604238.90625,644521.5,624354.28125,543789.09375,,1384864.0,1493984.0,1403104.0,1497408.0,1450069.6875,1555105.125,1400092.3125,1525087.59375,
26,1442951553.443000,51.328125,774.0,774.0,1742.0,387.0,,128.0,257.0,0.0,644.0,,54728.0,56170.0,53386.0,46525.0,55998.984375,58514.0625,53432.578125,43269.609375,,2185.0,3031.0,3490.0,3384.0,5389.453125,1796.484375,3592.96875,3592.96875,,12824.0,13212.0,10491.0,9325.0,19915.3125,19915.3125,19915.3125,0.0,,501192.0,605472.0,512704.0,763184.0,498498.75,598229.296875,478583.4375,757757.109375,,1433984.0,1575232.0,1732672.0,1565728.0,1425741.32812,1559399.76562,1762402.5,1549544.76562,
27,1442951553.768000,52.125000,1935.0,1742.0,774.0,1161.0,,644.0,128.0,386.0,515.0,,42996.0,48166.0,54082.0,50850.0,43941.375,46495.5,54262.125,49101.75,,1551.0,2890.0,2538.0,2432.0,1824.375,3648.75,3648.75,1824.375,,6216.0,1942.0,13990.0,12435.0,20224.5,20224.5,20224.5,0.0,,518272.0,696992.0,402912.0,554064.0,526514.625,708743.625,405011.25,567015.75,,1087200.0,1204288.0,1324224.0,1285632.0,1090924.125,1206589.5,1317198.75,1276958.25,
28,1442951554.092000,51.843750,774.0,2129.0,1548.0,774.0,,0.0,257.0,257.0,257.0,,41605.0,43643.0,45382.0,47519.0,43704.28125,43704.28125,46244.625,46244.625,,2185.0,2714.0,2643.0,2714.0,1814.53125,3629.0625,3629.0625,3629.0625,,11658.0,7771.0,8548.0,20211.0,20115.375,0.0,20115.375,20115.375,,507944.0,553664.0,397776.0,633808.0,523673.71875,563956.3125,402825.9375,624354.28125,,1316160.0,1178496.0,1093792.0,1015632.0,1320045.5625,1145072.90625,1105049.53125,1025054.625,
29,1442951554.417000,51.843750,580.0,580.0,1355.0,1935.0,,257.0,0.0,0.0,0.0,,45631.0,45829.0,43792.0,46873.0,46244.625,43704.28125,46244.625,46244.625,,2326.0,2890.0,1762.0,2079.0,1814.53125,5443.59375,1814.53125,1814.53125,,8548.0,11269.0,12435.0,15156.0,20115.375,0.0,40282.59375,0.0,,515088.0,421112.0,478960.0,610656.0,523673.71875,422941.3125,483391.125,604238.90625,,1264640.0,1518304.0,1496480.0,1449600.0,1270068.1875,1525087.59375,1510104.75,1460075.53125,
30,1442951554.742000,51.843750,774.0,193.0,387.0,1161.0,,386.0,515.0,128.0,257.0,,48215.0,55126.0,45879.0,48812.0,46244.625,53969.34375,46244.625,48836.8125,,2502.0,2890.0,2608.0,3349.0,1814.53125,3629.0625,1814.53125,5443.59375,,10491.0,12435.0,16711.0,11658.0,20115.375,0.0,20115.375,20115.375,,596288.0,528208.0,434176.0,805392.0,604238.90625,543789.09375,443108.53125,825767.25,,1229408.0,1546112.0,1419200.0,1570560.0,1230044.8125,1540070.4375,1430058.0,1600105.5,
31,1442951555.066000,52.218750,774.0,1548.0,387.0,580.0,,773.0,128.0,386.0,515.0,,45680.0,53883.0,56220.0,55673.0,49190.0625,56970.65625,54359.71875,54359.71875,,2538.0,2502.0,2608.0,2679.0,3655.3125,1827.65625,3655.3125,3655.3125,,17489.0,10103.0,19044.0,6605.0,20260.875,20260.875,20260.875,0.0,,515888.0,514296.0,711024.0,614640.0,527461.59375,527461.59375,730331.4375,608609.53125,,1294720.0,1257216.0,1265440.0,1242752.0,1309489.59375,1264163.71875,1274241.9375,1274241.9375,
